Date,Price,Open,High,Low,Vol.,Change %
10/28/2013,"22,353.20","22,442.88","22,601.07","22,281.12",,-0.41%
10/29/2013,"22,276.65","22,360.33","22,461.05","22,240.98",,-0.34%
10/30/2013,"22,310.59","22,287.10","22,399.74","22,273.06",,0.15%
10/31/2013,"22,775.85","22,319.58","22,820.11","22,232.00",,2.09%
11/1/2013,"22,649.09","22,774.71","23,013.46","22,602.87",,-0.56%
11/4/2013,"22,377.83","22,490.50","22,490.50","22,199.72",,-1.20%
11/5/2013,"22,790.70","22,412.19","22,833.92","22,411.73",,1.84%
11/6/2013,"23,165.21","22,802.58","23,218.72","22,802.58",132.13M,1.64%
11/7/2013,"23,220.21","23,224.92","23,350.13","23,113.89",120.21M,0.24%
11/8/2013,"23,367.15","23,208.79","23,392.11","23,152.99",98.15M,0.63%
11/11/2013,"23,381.08","23,371.83","23,588.52","23,364.48",158.19M,0.06%
11/12/2013,"23,302.46","23,385.03","23,530.76","23,274.77",129.14M,-0.34%
11/13/2013,"23,287.06","23,276.92","23,312.65","23,146.83",91.59M,-0.07%
11/18/2013,"23,611.24","23,312.67","23,675.31","23,312.67",135.40M,1.39%
11/19/2013,"23,819.43","23,628.07","23,880.08","23,628.07",173.19M,0.88%
11/20/2013,"23,800.97","23,857.42","24,007.12","23,775.77",191.21M,-0.08%
11/21/2013,"23,784.18","23,813.63","23,914.56","23,732.10",106.15M,-0.07%
11/22/2013,"23,847.57","23,809.55","23,874.82","23,702.85",97.09M,0.27%
11/25/2013,"23,978.29","23,908.48","24,089.85","23,906.73",112.76M,0.55%
11/26/2013,"23,798.70","23,997.36","23,997.36","23,745.73",93.19M,-0.75%
11/27/2013,"23,768.35","23,784.98","23,849.01","23,683.53",74.45M,-0.13%
11/28/2013,"24,180.49","23,817.88","24,204.48","23,817.88",120.79M,1.73%
11/29/2013,"24,302.19","24,195.75","24,338.89","24,178.07",111.29M,0.50%
12/2/2013,"24,401.57","24,337.76","24,461.79","24,318.16",119.09M,0.41%
12/3/2013,"24,588.47","24,453.62","24,618.69","24,453.62",138.60M,0.77%
12/4/2013,"24,445.38","24,616.44","24,750.13","24,427.89",147.56M,-0.58%
12/5/2013,"24,800.69","24,466.00","24,866.04","24,447.13",140.98M,1.45%
12/6/2013,"24,870.55","24,855.34","25,007.66","24,808.83",194.68M,0.28%
12/9/2013,"24,998.89","24,875.26","25,125.81","24,875.26",103.61M,0.52%
12/10/2013,"24,878.68","25,070.49","25,102.14","24,852.47",108.32M,-0.48%
12/11/2013,"24,972.90","24,912.21","25,020.17","24,912.21",116.57M,0.38%
12/12/2013,"25,072.00","25,033.99","25,103.41","24,917.52",135.91M,0.40%
12/13/2013,"25,256.69","25,088.49","25,285.62","25,088.49",220.24M,0.74%
12/16/2013,"25,298.32","25,290.85","25,407.48","25,262.65",189.11M,0.16%
12/17/2013,"25,350.20","25,313.56","25,399.20","25,193.67",194.49M,0.21%
12/18/2013,"25,524.46","25,393.57","25,551.09","25,383.86",187.45M,0.69%
12/19/2013,"25,472.64","25,530.75","25,711.23","25,399.45",173.75M,-0.20%
12/20/2013,"25,579.33","25,474.75","25,639.94","25,392.89",149.54M,0.42%
12/23/2013,"25,417.63","25,596.58","25,631.48","25,340.04",114.00M,-0.63%
12/24/2013,"25,366.69","25,431.40","25,469.78","25,182.92",104.43M,-0.20%
12/26/2013,"25,370.03","25,399.98","25,497.58","25,348.44",108.67M,0.01%
12/27/2013,"25,258.05","25,375.03","25,415.06","25,229.55",113.88M,-0.44%
12/30/2013,"25,283.96","25,270.02","25,378.82","25,194.69",132.74M,0.10%
12/31/2013,"25,261.14","25,299.97","25,319.58","25,219.08",87.39M,-0.09%
1/1/2014,"25,608.85","25,273.11","25,628.41","25,273.11",198.35M,1.38%
1/2/2014,"25,962.18","25,615.12","25,978.71","25,615.12",257.12M,1.38%
1/3/2014,"26,046.71","25,968.76","26,136.28","25,968.76",170.70M,0.33%
1/6/2014,"26,169.83","26,065.70","26,299.69","26,059.44",149.22M,0.47%
1/7/2014,"26,259.57","26,181.97","26,289.33","26,051.19",200.62M,0.34%
1/8/2014,"26,341.08","26,261.37","26,428.11","26,261.37",188.89M,0.31%
1/9/2014,"26,373.24","26,365.40","26,566.73","26,306.01",250.51M,0.12%
1/10/2014,"26,488.32","26,374.06","26,519.59","26,270.32",139.38M,0.44%
1/13/2014,"26,590.69","26,512.19","26,632.90","26,505.14",108.15M,0.39%
1/15/2014,"26,761.78","26,627.07","26,876.63","26,627.07",198.43M,0.64%
