Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Capital Protected - Income (Annualized Return ),UBL Special Savings Plan V,,N/A,"Jan 20, 2025",114.96,20.02,10.59,6.13,9.15,10.66,14.43,20.01,N/A,N/A,N/A,N/A
Open-End Funds,Capital Protected - Income (Annualized Return ),UBL Special Savings Plan X,,N/A,"Jan 20, 2025",112.3308,21.10,17.24,16.72,15.43,15.98,16.81,20.98,(6.34),(0.41),N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan IX,,N/A,"Jan 20, 2025",10.1165,17.01,16.58,5.77,16.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan V,AM2++,N/A,"Jan 20, 2025",10.8713,23.21,13.63,4.38,12.15,13.55,16.86,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan VI,AM2++,N/A,"Jan 02, 2025",10.3013,15.27,11.52,9.20,11.61,13.52,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan VII,AM2++,N/A,"Jan 09, 2025",10.3237,14.96,12.29,9.56,11.27,12.75,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan VIII,AM2++,N/A,"Jan 20, 2025",10.6418,18.89,10.96,8.58,10.38,11.15,16.26,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan X,AM1,N/A,"Jan 20, 2025",10.149,12.95,13.06,5.40,11.93,13.17,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan XI,AM2++,N/A,"Jan 20, 2025",10.2498,13.61,11.30,8.91,11.07,11.50,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan XII,,N/A,"Jan 20, 2025",10.192,13.22,11.17,10.40,10.72,11.08,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),ABL Fixed Rate Plan XIII,,N/A,"Jan 20, 2025",10.0841,11.37,10.94,8.69,10.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),AL Habib Fixed Return Fund Plan 10,,N/A,"Jan 02, 2025",109.6808,20.29,13.27,14.42,11.53,12.61,14.34,18.77,20.16,20.24,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),AL Habib Fixed Return Fund Plan 14,AM2+,N/A,"Dec 27, 2024",100,14.70,12.73,N/A,10.95,13.09,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),AL Habib Fixed Return Fund Plan 15,AM2+,N/A,"Jan 20, 2025",104.2816,16.11,12.17,6.90,10.85,12.05,16.36,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),AL Habib Fixed Return Fund Plan 16,AM2+,N/A,"Jan 20, 2025",108.5741,21.58,12.19,6.94,10.88,12.14,16.54,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),Alfalah Stable Return Fund Plan XVI,AM1,N/A,"Jan 17, 2025",101.1252,11.41,12.20,12.56,11.33,11.58,N/A,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),Alfalah Stable Return Plan IV,,N/A,"Jan 17, 2025",110.5233,24.51,3.55,(0.55),0.83,7.16,15.46,17.92,24.47,N/A,N/A,N/A
Open-End Funds,Fixed Rate / Return (Annualized Return ),Alfalah Stable Return Plan XI,,N/A,"Jan 17, 2025",111.2192,19.90,9.57,10.00,8.95,9.60,13.72,19.44,20.60,N/A,N/A,N/A
